日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,28°,21°,阴~多云,东北风4级,57 良
2024-07-02 周二,23°,19°,中雨,东北风3级,59 良
2024-07-03 周三,26°,19°,阴~晴,西北风4级,41 优
2024-07-04 周四,27°,19°,阴~多云,南风2级,57 良
2024-07-05 周五,31°,22°,阴~小雨,西南风2级,77 良
2024-07-06 周六,28°,21°,小雨~阵雨,西风1级,37 优
2024-07-07 周日,30°,22°,阴~阵雨,东北风1级,32 优
2024-07-08 周一,30°,20°,小雨~多云,北风2级,55 良
2024-07-09 周二,30°,20°,阴~晴,东北风3级,62 良
2024-07-10 周三,30°,20°,晴,东北风2级,56 良
2024-07-11 周四,30°,20°,阴~晴,东南风2级,84 良
2024-07-12 周五,29°,21°,阴~多云,南风3级,71 良
2024-07-13 周六,26°,22°,小雨~多云,南风2级,52 良
2024-07-14 周日,31°,23°,阴~晴,南风2级,55 良
2024-07-15 周一,30°,23°,阴~多云,南风3级,47 优
2024-07-16 周二,27°,23°,阴~阵雨,南风4级,30 优
2024-07-17 周三,33°,23°,阴~晴,西南风2级,36 优
2024-07-18 周四,32°,24°,阴~多云,西南风3级,65 良
2024-07-19 周五,34°,24°,雾~阵雨,南风4级,75 良
2024-07-20 周六,27°,24°,雾~多云,南风3级,45 优
2024-07-21 周日,33°,25°,阴~多云,西南风3级,54 良
2024-07-22 周一,30°,26°,小雨~多云,南风3级,40 优
2024-07-23 周二,31°,23°,阴~雷阵雨,东南风3级,44 优
2024-07-24 周三,31°,24°,阴~小雨,东南风2级,39 优
2024-07-25 周四,25°,23°,中雨~暴雨,南风2级,29 优
2024-07-26 周五,25°,23°,暴雨~多云,南风4级,19 优
2024-07-27 周六,27°,24°,阴~暴雨,南风3级,19 优
2024-07-28 周日,31°,25°,大雨~多云,北风1级,22 优
2024-07-29 周一,33°,25°,雾~阵雨,东北风1级,51 良
2024-07-30 周二,28°,25°,小雨~中雨,南风2级,40 优
2024-07-31 周三,31°,25°,阴~多云,西南风4级,43 优
