日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,26°,16°,晴~多云,东北风3级,82 良
2024-07-02 周二,28°,17°,阴~中雨,东风3级,57 良
2024-07-03 周三,21°,17°,中雨~小雨,东南风3级,24 优
2024-07-04 周四,22°,19°,小雨~多云,西南风3级,31 优
2024-07-05 周五,22°,19°,中雨~晴,西南风2级,26 优
2024-07-06 周六,25°,20°,小雨~大雨,东南风3级,27 优
2024-07-07 周日,27°,21°,中雨~雷阵雨,北风2级,42 优
2024-07-08 周一,27°,17°,雾~晴,东北风3级,57 良
2024-07-09 周二,27°,16°,晴,东北风3级,55 良
2024-07-10 周三,28°,22°,多云~晴,西风2级,68 良
2024-07-11 周四,28°,19°,阴~多云,西风1级,70 良
2024-07-12 周五,29°,19°,阴~雷阵雨,西北风1级,68 良
2024-07-13 周六,29°,20°,中雨~多云,西风1级,74 良
2024-07-14 周日,30°,21°,小雨~多云,东南风1级,62 良
2024-07-15 周一,32°,23°,多云~晴,西南风2级,58 良
2024-07-16 周二,30°,23°,阴~雷阵雨,南风3级,40 优
2024-07-17 周三,27°,21°,阴~晴,西南风4级,22 优
2024-07-18 周四,29°,22°,多云,西南风3级,37 优
2024-07-19 周五,31°,22°,阴~小雨,西南风4级,57 良
2024-07-20 周六,27°,22°,阴~多云,西南风3级,35 优
2024-07-21 周日,30°,23°,阴~中雨,西南风3级,38 优
2024-07-22 周一,30°,22°,中雨,西南风3级,28 优
2024-07-23 周二,26°,22°,小雨,西南风1级,22 优
2024-07-24 周三,29°,23°,阴~多云,北风1级,30 优
2024-07-25 周四,29°,22°,阴~大雨,东南风2级,27 优
2024-07-26 周五,26°,23°,大雨~小雨,东南风3级,16 优
2024-07-27 周六,29°,23°,阴~小雨,西南风3级,18 优
2024-07-28 周日,26°,22°,中雨~小雨,南风2级,13 优
2024-07-29 周一,30°,21°,小雨~多云,西风3级,22 优
2024-07-30 周二,30°,22°,阴~大雨,西南风2级,30 优
2024-07-31 周三,28°,23°,中雨,西南风5级,21 优
