日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,20°,15°,阴,北风4级,37 优
2024-10-02 周三,24°,17°,阴~晴,北风3级,67 良
2024-10-03 周四,24°,14°,阴~多云,东北风3级,61 良
2024-10-04 周五,26°,18°,阴~多云,西北风2级,65 良
2024-10-05 周六,27°,18°,多云~晴,西北风2级,62 良
2024-10-06 周日,27°,17°,多云,西北风3级,96 良
2024-10-07 周一,19°,16°,阴~小雨,西北风4级,63 良
2024-10-08 周二,20°,15°,阴~晴,东风1级,45 优
2024-10-09 周三,27°,16°,雾~晴,北风1级,61 良
2024-10-10 周四,28°,17°,雾~晴,东北风1级,86 良
2024-10-11 周五,30°,19°,阴~多云,东风1级,91 良
2024-10-12 周六,29°,19°,阴~多云,东北风2级,141 轻度
2024-10-13 周日,25°,18°,多云~小雨,西北风3级,178 中度
2024-10-14 周一,21°,17°,中雨~小雨,西北风2级,53 良
2024-10-15 周二,20°,18°,中雨~小雨,北风1级,76 良
2024-10-16 周三,21°,19°,小雨,西北风2级,81 良
2024-10-17 周四,24°,20°,小雨~中雨,东南风2级,58 良
2024-10-18 周五,29°,18°,雾~多云,北风1级,47 优
2024-10-19 周六,20°,15°,阴,北风3级,28 优
2024-10-20 周日,18°,14°,阴,西北风3级,46 优
2024-10-21 周一,14°,11°,雾~阴,西北风1级,36 优
2024-10-22 周二,16°,10°,小雨~多云,西北风4级,20 优
2024-10-23 周三,21°,11°,雾~晴,北风2级,41 优
2024-10-24 周四,23°,11°,晴,北风2级,52 良
2024-10-25 周五,23°,14°,晴~多云,北风2级,73 良
2024-10-26 周六,19°,17°,阴,西北风3级,79 良
2024-10-27 周日,20°,15°,小雨,西北风2级,91 良
2024-10-28 周一,19°,13°,多云,北风2级,144 轻度
2024-10-29 周二,22°,12°,雾~多云,东北风1级,109 轻度
2024-10-30 周三,24°,13°,雾~晴,北风2级,87 良
2024-10-31 周四,23°,15°,晴,西北风3级,74 良
