日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,30°,15°,阴~中雨,东北风2级,40 优
2024-09-02 周一,22°,15°,阴~多云,东北风3级,31 优
2024-09-03 周二,21°,15°,多云~晴,西南风2级,34 优
2024-09-04 周三,31°,18°,多云,西南风3级,38 优
2024-09-05 周四,23°,13°,阴~晴,东北风3级,26 优
2024-09-06 周五,27°,14°,阴~晴,东南风1级,33 优
2024-09-07 周六,28°,18°,多云~小雨,南风2级,36 优
2024-09-08 周日,27°,20°,阴~晴,南风3级,43 优
2024-09-09 周一,29°,19°,小雨~大雨,西南风3级,46 优
2024-09-10 周二,20°,15°,小雨,东北风3级,28 优
2024-09-11 周三,24°,13°,阴~晴,东北风3级,29 优
2024-09-12 周四,27°,16°,多云~晴,东北风3级,39 优
2024-09-13 周五,27°,16°,阴~晴,西南风1级,38 优
2024-09-14 周六,25°,14°,阴~多云,东北风2级,48 优
2024-09-15 周日,22°,13°,阴~晴,东风2级,30 优
2024-09-16 周一,26°,13°,多云~晴,西南风2级,44 优
2024-09-17 周二,28°,18°,雾~小雨,东北风2级,43 优
2024-09-18 周三,24°,18°,阴~小雨,东北风3级,36 优
2024-09-19 周四,26°,16°,阴~多云,东风1级,26 优
2024-09-20 周五,28°,12°,阴~小雨,西北风1级,31 优
2024-09-21 周六,22°,8°,阴~晴,东北风2级,24 优
2024-09-22 周日,21°,8°,多云~晴,东北风2级,34 优
2024-09-23 周一,22°,8°,阴~晴,西南风1级,48 优
2024-09-24 周二,25°,12°,晴,西南风2级,55 良
2024-09-25 周三,23°,11°,阴~晴,北风1级,60 良
2024-09-26 周四,22°,13°,阴~多云,东南风2级,82 良
2024-09-27 周五,20°,15°,雾~小雨,东南风2级,78 良
2024-09-28 周六,22°,14°,阴~雾,东南风3级,62 良
2024-09-29 周日,24°,12°,阴~中雨,南风3级,41 优
2024-09-30 周一,14°,7°,中雨~晴,西北风3级,20 优
