日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-13°,-24°,多云~晴,北风2级,42 优
2024-02-02 周五,-5°,-20°,晴,北风2级,86 良
2024-02-03 周六,-7°,-18°,晴,北风2级,65 良
2024-02-04 周日,-5°,-14°,多云,东北风2级,74 良
2024-02-05 周一,-7°,-15°,阴~多云,东北风3级,37 优
2024-02-06 周二,-3°,-22°,晴,北风2级,48 优
2024-02-07 周三,-2°,-19°,晴,西北风2级,89 良
2024-02-08 周四,-2°,-20°,多云~晴,西北风2级,66 良
2024-02-09 周五,-1°,-18°,雾~晴,西北风1级,148 轻度
2024-02-10 周六,1°,-13°,晴,西风1级,168 中度
2024-02-11 周日,3°,-5°,晴,西北风1级,84 良
2024-02-12 周一,10°,-1°,阴~晴,西南风3级,118 轻度
2024-02-13 周二,14°,-3°,晴,西南风1级,142 轻度
2024-02-14 周三,-2°,-11°,阴~晴,北风4级,32 优
2024-02-15 周四,-1°,-7°,晴,西北风3级,36 优
2024-02-16 周五,8°,0°,晴,西南风5级,120 轻度
2024-02-17 周六,7°,2°,多云,西南风5级,68 良
2024-02-18 周日,2°,-8°,小雪~中雪,西南风2级,39 优
2024-02-19 周一,-7°,-16°,阴~晴,北风5级,47 优
2024-02-20 周二,-12°,-14°,阴~多云,东北风4级,28 优
2024-02-21 周三,-9°,-14°,多云~晴,东北风4级,25 优
2024-02-22 周四,-6°,-15°,阴~晴,东北风3级,28 优
2024-02-23 周五,-3°,-17°,阴~晴,东北风3级,35 优
2024-02-24 周六,0°,-12°,阴~多云,东北风1级,72 良
2024-02-25 周日,-2°,-12°,晴,西北风3级,38 优
2024-02-26 周一,-1°,-13°,晴~多云,东北风2级,50 优
2024-02-27 周二,-4°,-7°,中雪~小雪,西南风2级,110 轻度
2024-02-28 周三,-4°,-15°,阴~晴,北风3级,69 良
2024-02-29 周四,-6°,-14°,晴,西北风4级,56 良
