日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,5°,0°,阴~多云,东风2级,71 良
2024-03-02 周六,12°,2°,晴,西南风3级,79 良
2024-03-03 周日,14°,6°,多云~阴,东南风2级,70 良
2024-03-04 周一,10°,6°,阴~小雨,东北风2级,92 良
2024-03-05 周二,8°,5°,多云~阴,北风3级,131 轻度
2024-03-06 周三,8°,2°,多云,东北风2级,119 轻度
2024-03-07 周四,14°,0°,雾~晴,西风3级,115 轻度
2024-03-08 周五,14°,1°,阴~多云,东北风2级,70 良
2024-03-09 周六,14°,3°,多云,东南风2级,61 良
2024-03-10 周日,17°,8°,阴,东南风3级,101 轻度
2024-03-11 周一,21°,6°,阴~晴,西风3级,84 良
2024-03-12 周二,17°,8°,晴~多云,东北风3级,88 良
2024-03-13 周三,15°,9°,阴~多云,东南风3级,105 轻度
2024-03-14 周四,17°,6°,阴~晴,东风3级,100 良
2024-03-15 周五,19°,11°,多云~阴,东南风3级,116 轻度
2024-03-16 周六,22°,14°,多云~小雨,西南风1级,121 轻度
2024-03-17 周日,16°,7°,小雨~阴,东北风3级,131 轻度
2024-03-18 周一,13°,6°,阴~多云,东北风1级,66 良
2024-03-19 周二,17°,5°,阴~晴,西北风2级,90 良
2024-03-20 周三,21°,8°,晴~阴,西北风1级,105 轻度
2024-03-21 周四,24°,13°,多云~晴,南风3级,81 良
2024-03-22 周五,26°,16°,晴~中雨,西南风3级,66 良
2024-03-23 周六,17°,14°,暴雨~小雨,东风4级,55 良
2024-03-24 周日,13°,9°,雾~大雨,东北风3级,45 优
2024-03-25 周一,9°,4°,阴~多云,西北风3级,54 良
2024-03-26 周二,16°,9°,雾~阴,西南风2级,54 良
2024-03-27 周三,12°,10°,小雨~阴,东南风2级,63 良
2024-03-28 周四,23°,15°,雾~晴,西风2级,68 良
2024-03-29 周五,27°,15°,晴~多云,西南风4级,54 良
2024-03-30 周六,27°,14°,多云~阴,东北风1级,64 良
2024-03-31 周日,24°,15°,阴~晴,东南风1级,90 良
