日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,25°,18°,多云~小雨,东南风2级,64 良
2024-01-02 周二,22°,16°,小雨,东南风2级,56 良
2024-01-03 周三,20°,16°,多云,北风4级,29 优
2024-01-04 周四,25°,16°,多云~小雨,东南风1级,44 优
2024-01-05 周五,25°,18°,小雨~多云,东南风2级,57 良
2024-01-06 周六,25°,13°,多云~阴,东南风2级,52 良
2024-01-07 周日,15°,12°,阴,东南风2级,77 良
2024-01-08 周一,21°,19°,雾~阴,东南风2级,53 良
2024-01-09 周二,22°,16°,雾~小雨,东风2级,55 良
2024-01-10 周三,17°,15°,阴~小雨,北风3级,32 优
2024-01-11 周四,17°,16°,小雨,东北风3级,33 优
2024-01-12 周五,18°,17°,雾~阴,东北风2级,37 优
2024-01-13 周六,20°,17°,小雨,东北风2级,40 优
2024-01-14 周日,22°,18°,雾~多云,东风2级,56 良
2024-01-15 周一,25°,16°,雾~多云,东南风2级,51 良
2024-01-16 周二,23°,19°,雾~小雨,东南风3级,44 优
2024-01-17 周三,23°,20°,阴~多云,东南风2级,44 优
2024-01-18 周四,23°,20°,阴~多云,东南风2级,39 优
2024-01-19 周五,23°,15°,小雨,南风3级,35 优
2024-01-20 周六,21°,11°,中雨~小雨,东北风3级,27 优
2024-01-21 周日,12°,7°,阴~小雨,东北风4级,24 优
2024-01-22 周一,8°,4°,中雨~小雨,北风6级,18 优
2024-01-23 周二,6°,5°,小雨~阴,北风5级,24 优
2024-01-24 周三,8°,7°,阴,东北风4级,35 优
2024-01-25 周四,9°,7°,晴~阴,东北风4级,48 优
2024-01-26 周五,8°,7°,阴~小雨,东北风4级,59 良
2024-01-27 周六,8°,6°,小雨,东北风4级,41 优
2024-01-28 周日,9°,8°,小雨,北风4级,36 优
2024-01-29 周一,11°,8°,中雨~小雨,东北风3级,24 优
2024-01-30 周二,16°,10°,小雨,东北风2级,35 优
2024-01-31 周三,21°,15°,小雨~阴,南风2级,48 优
