日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,11°,8°,阴~阵雨,东北风3级,23 优
2024-03-02 周六,11°,10°,小雨~阵雨,东北风3级,36 优
2024-03-03 周日,15°,9°,阵雨,东北风2级,72 良
2024-03-04 周一,21°,20°,雾~多云,东南风4级,39 优
2024-03-05 周二,27°,21°,阴~阵雨,西南风3级,38 优
2024-03-06 周三,23°,16°,小雨~多云,东北风3级,43 优
2024-03-07 周四,16°,15°,阴~阵雨,东北风3级,45 优
2024-03-08 周五,21°,15°,阴~阵雨,东北风3级,45 优
2024-03-09 周六,16°,14°,小雨~阴,东北风3级,57 良
2024-03-10 周日,16°,13°,阵雨,东北风3级,28 优
2024-03-11 周一,19°,13°,中雨~晴,北风2级,30 优
2024-03-12 周二,24°,15°,晴~多云,东风3级,36 优
2024-03-13 周三,19°,18°,阴~多云,东风3级,49 优
2024-03-14 周四,21°,19°,小雨~阵雨,东风3级,81 良
2024-03-15 周五,21°,19°,多云~阴,东风3级,101 轻度
2024-03-16 周六,25°,20°,小雨~多云,东南风2级,59 良
2024-03-17 周日,25°,21°,阴,东南风2级,44 优
2024-03-18 周一,27°,20°,阴~阵雨,东南风3级,31 优
2024-03-19 周二,21°,17°,小雨~多云,东北风4级,27 优
2024-03-20 周三,25°,17°,多云,东风3级,54 良
2024-03-21 周四,24°,18°,阴~多云,东南风3级,54 良
2024-03-22 周五,24°,20°,阴,东南风3级,50 优
2024-03-23 周六,24°,22°,阴~多云,东南风4级,33 优
2024-03-24 周日,27°,23°,雾~阴,东南风3级,39 优
2024-03-25 周一,28°,22°,阴~多云,南风3级,31 优
2024-03-26 周二,30°,24°,雾~多云,东南风2级,51 良
2024-03-27 周三,27°,23°,阴~多云,东南风3级,45 优
2024-03-28 周四,27°,23°,小雨~多云,南风2级,37 优
2024-03-29 周五,29°,23°,多云,南风2级,35 优
2024-03-30 周六,27°,23°,阴,南风3级,27 优
2024-03-31 周日,29°,25°,阴,西南风3级,34 优
