日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,5°,-8°,多云~晴,西南风2级,91 良
2024-01-02 周二,7°,-8°,晴,西风3级,74 良
2024-01-03 周三,4°,-7°,晴,西南风3级,56 良
2024-01-04 周四,8°,-7°,晴,西风4级,66 良
2024-01-05 周五,4°,-7°,多云~晴,西风3级,63 良
2024-01-06 周六,4°,-9°,晴,西风3级,55 良
2024-01-07 周日,1°,-9°,晴,西北风1级,63 良
2024-01-08 周一,7°,-6°,多云~晴,西风3级,90 良
2024-01-09 周二,4°,-9°,阴~晴,西北风2级,92 良
2024-01-10 周三,5°,-4°,晴,西风3级,74 良
2024-01-11 周四,10°,-5°,晴,西风3级,80 良
2024-01-12 周五,14°,-6°,晴,西风2级,100 良
2024-01-13 周六,3°,-6°,多云~晴,东北风1级,159 中度
2024-01-14 周日,2°,-10°,雾~晴,北风1级,163 中度
2024-01-15 周一,7°,-5°,多云,西风1级,80 良
2024-01-16 周二,0°,-7°,多云~小雪,东北风2级,94 良
2024-01-17 周三,5°,-5°,多云,西风2级,147 轻度
2024-01-18 周四,-2°,-7°,雾~多云,东风2级,134 轻度
2024-01-19 周五,-2°,-9°,阴~多云,东风2级,85 良
2024-01-20 周六,0°,-12°,阴~晴,西北风1级,96 良
2024-01-21 周日,-5°,-14°,晴,西北风4级,50 优
2024-01-22 周一,-4°,-16°,晴,西风2级,34 优
2024-01-23 周二,0°,-13°,晴,西风3级,41 优
2024-01-24 周三,3°,-11°,晴,西南风2级,55 良
2024-01-25 周四,2°,-9°,多云,西风3级,63 良
2024-01-26 周五,3°,-10°,多云~晴,西风3级,58 良
2024-01-27 周六,4°,-10°,阴~晴,西风3级,64 良
2024-01-28 周日,7°,-8°,晴,西风3级,61 良
2024-01-29 周一,3°,-9°,晴,东风2级,89 良
2024-01-30 周二,7°,-6°,阴~晴,西南风2级,151 中度
2024-01-31 周三,0°,-8°,多云~小雪,东北风3级,185 中度
