日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,6°,-5°,多云~晴,南风1级,-
2023-12-02 周六,7°,-5°,多云~晴,西南风1级,-
2023-12-03 周日,6°,-6°,多云~晴,西南风1级,-
2023-12-04 周一,5°,-5°,多云~晴,西南风1级,-
2023-12-05 周二,6°,-4°,多云~晴,东风2级,-
2023-12-06 周三,6°,-4°,多云~阴,西南风1级,-
2023-12-07 周四,9°,-4°,多云,南风1级,-
2023-12-08 周五,4°,-4°,多云,东风2级,-
2023-12-09 周六,5°,-6°,多云,东风2级,-
2023-12-10 周日,5°,-7°,阴~多云,西南风1级,-
2023-12-11 周一,3°,-8°,多云~晴,东南风1级,-
2023-12-12 周二,2°,-6°,多云~晴,东风2级,-
2023-12-13 周三,0°,-9°,多云~晴,东北风1级,-
2023-12-14 周四,-2°,-8°,多云~晴,东南风1级,-
2023-12-15 周五,-5°,-12°,多云~晴,东南风1级,-
2023-12-16 周六,-5°,-10°,多云~晴,北风1级,-
2023-12-17 周日,-3°,-9°,多云~晴,西南风1级,-
2023-12-18 周一,-4°,-9°,多云~晴,东南风1级,-
2023-12-19 周二,-3°,-9°,多云~晴,东北风1级,-
2023-12-20 周三,-3°,-10°,多云~晴,东南风1级,-
2023-12-21 周四,-3°,-8°,多云~晴,东北风1级,-
2023-12-22 周五,-3°,-10°,多云~晴,西南风1级,-
2023-12-23 周六,-2°,-9°,多云~晴,东北风1级,-
2023-12-24 周日,-1°,-11°,多云,东北风1级,-
2023-12-25 周一,0°,-8°,多云~晴,东北风1级,-
2023-12-26 周二,0°,-9°,多云,西南风1级,-
2023-12-27 周三,-1°,-11°,多云,东风1级,-
2023-12-28 周四,2°,-9°,多云~晴,东北风1级,-
2023-12-29 周五,3°,-8°,多云,东南风1级,-
2023-12-30 周六,2°,-10°,多云~晴,西南风1级,-
2023-12-31 周日,2°,-10°,晴,东北风1级,157 中度
