日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,26°,11°,多云~小雨,东南风2级,31 优
2024-09-02 周一,20°,7°,阴~晴,西风3级,25 优
2024-09-03 周二,16°,7°,阴~晴,西南风2级,22 优
2024-09-04 周三,20°,10°,晴,南风1级,23 优
2024-09-05 周四,25°,10°,多云,东南风2级,28 优
2024-09-06 周五,20°,12°,阴~小雨,西北风1级,27 优
2024-09-07 周六,14°,5°,小雨~晴,西风2级,23 优
2024-09-08 周日,16°,5°,阴~晴,西南风2级,20 优
2024-09-09 周一,19°,7°,晴,西南风2级,22 优
2024-09-10 周二,22°,8°,多云,西南风2级,27 优
2024-09-11 周三,22°,11°,阴~小雨,西南风2级,26 优
2024-09-12 周四,17°,8°,中雨~晴,西风1级,23 优
2024-09-13 周五,16°,5°,多云~晴,西南风1级,26 优
2024-09-14 周六,16°,5°,阴~晴,西南风2级,20 优
2024-09-15 周日,16°,6°,晴,西南风2级,22 优
2024-09-16 周一,19°,7°,晴,西南风1级,26 优
2024-09-17 周二,19°,6°,多云~晴,西南风2级,26 优
2024-09-18 周三,15°,4°,阴~晴,西南风2级,35 优
2024-09-19 周四,18°,7°,晴,西南风1级,31 优
2024-09-20 周五,23°,11°,晴~多云,东南风2级,26 优
2024-09-21 周六,23°,9°,阴~晴,南风2级,40 优
2024-09-22 周日,23°,10°,阴~小雨,东南风1级,29 优
2024-09-23 周一,22°,9°,晴,西南风2级,24 优
2024-09-24 周二,23°,8°,阴~多云,西南风2级,29 优
2024-09-25 周三,20°,8°,阴~多云,西南风2级,29 优
2024-09-26 周四,14°,4°,阴~晴,西南风2级,31 优
2024-09-27 周五,10°,2°,阴~晴,西风3级,26 优
2024-09-28 周六,7°,1°,多云~晴,西南风2级,26 优
2024-09-29 周日,9°,2°,晴,西南风1级,23 优
2024-09-30 周一,13°,3°,晴,南风1级,29 优
