日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,30°,26°,阴~晴,南风3级,16 优
2024-08-02 周五,34°,28°,多云,南风4级,18 优
2024-08-03 周六,35°,27°,阴~晴,南风4级,23 优
2024-08-04 周日,36°,27°,晴,南风4级,21 优
2024-08-05 周一,37°,25°,阴~中雨,南风3级,24 优
2024-08-06 周二,33°,25°,中雨~晴,东南风3级,23 优
2024-08-07 周三,36°,27°,多云,南风3级,27 优
2024-08-08 周四,36°,27°,多云,东南风3级,35 优
2024-08-09 周五,36°,27°,多云~阵雨,南风3级,32 优
2024-08-10 周六,34°,24°,小雨~多云,西北风3级,32 优
2024-08-11 周日,37°,24°,多云~晴,西北风2级,68 良
2024-08-12 周一,36°,24°,多云~阴,西北风2级,42 优
2024-08-13 周二,36°,25°,多云,东北风3级,33 优
2024-08-14 周三,34°,25°,阴~晴,东北风3级,43 优
2024-08-15 周四,33°,25°,阴~多云,东北风3级,39 优
2024-08-16 周五,35°,24°,阴~多云,东北风3级,31 优
2024-08-17 周六,35°,25°,阴~晴,东北风3级,36 优
2024-08-18 周日,34°,25°,中雨~小雨,东北风2级,42 优
2024-08-19 周一,32°,23°,雾~多云,北风1级,35 优
2024-08-20 周二,34°,23°,雾~晴,东北风2级,33 优
2024-08-21 周三,36°,24°,晴,东南风1级,32 优
2024-08-22 周四,37°,26°,阴~晴,南风3级,40 优
2024-08-23 周五,37°,26°,阴~晴,东南风3级,37 优
2024-08-24 周六,38°,27°,阴~晴,东南风2级,41 优
2024-08-25 周日,38°,26°,阴~多云,东南风2级,41 优
2024-08-26 周一,38°,23°,雾~小雨,西南风3级,38 优
2024-08-27 周二,31°,23°,阴,东北风4级,31 优
2024-08-28 周三,25°,23°,小雨~多云,北风3级,30 优
2024-08-29 周四,31°,23°,雾~晴,东北风2级,37 优
2024-08-30 周五,34°,25°,雾~晴,东南风1级,36 优
2024-08-31 周六,36°,26°,雾~晴,东南风2级,39 优
