日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,35°,24°,阴~阵雨,东风1级,34 优
2024-09-02 周一,37°,23°,阴~阵雨,东北风1级,35 优
2024-09-03 周二,35°,24°,多云~阵雨,东北风1级,29 优
2024-09-04 周三,36°,22°,小雨~大暴雨,东北风1级,31 优
2024-09-05 周四,34°,23°,阴~阵雨,东北风1级,30 优
2024-09-06 周五,31°,21°,中雨~阵雨,东北风1级,29 优
2024-09-07 周六,32°,22°,阴~阵雨,东风1级,29 优
2024-09-08 周日,33°,23°,阴~暴雨,东北风1级,35 优
2024-09-09 周一,30°,21°,小雨~大暴雨,东北风1级,31 优
2024-09-10 周二,31°,22°,阴~阵雨,东风1级,26 优
2024-09-11 周三,30°,22°,小雨~大雨,东北风1级,28 优
2024-09-12 周四,30°,22°,阴~大雨,东北风1级,33 优
2024-09-13 周五,24°,22°,中雨~阵雨,东北风1级,30 优
2024-09-14 周六,29°,22°,阴~大雨,东北风1级,32 优
2024-09-15 周日,27°,22°,阴~暴雨,东北风1级,29 优
2024-09-16 周一,27°,22°,阴~阵雨,西北风1级,21 优
2024-09-17 周二,31°,23°,阴~晴,东北风1级,28 优
2024-09-18 周三,32°,24°,阴~晴,东北风1级,33 优
2024-09-19 周四,30°,21°,阴~阵雨,东北风1级,35 优
2024-09-20 周五,31°,22°,阴~阵雨,东北风1级,40 优
2024-09-21 周六,30°,21°,阴~多云,东风1级,26 优
2024-09-22 周日,28°,21°,阴~多云,东北风1级,26 优
2024-09-23 周一,27°,21°,小雨~多云,东南风1级,33 优
2024-09-24 周二,25°,21°,小雨~阵雨,东北风1级,35 优
2024-09-25 周三,30°,22°,阴,东北风1级,29 优
2024-09-26 周四,32°,23°,阴~晴,东北风1级,38 优
2024-09-27 周五,32°,24°,阴~阵雨,东北风1级,52 良
2024-09-28 周六,27°,23°,阴~阵雨,东北风1级,66 良
2024-09-29 周日,24°,18°,小雨~阵雨,东北风1级,60 良
2024-09-30 周一,20°,16°,阴~阵雨,东风1级,19 优
