日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,30°,27°,多云~小雨,西南风3级,34 优
2024-08-02 周五,30°,27°,阴~多云,南风3级,28 优
2024-08-03 周六,32°,28°,多云,东南风2级,31 优
2024-08-04 周日,33°,24°,雾~中雨,南风3级,44 优
2024-08-05 周一,31°,24°,中雨,西风2级,26 优
2024-08-06 周二,29°,26°,小雨,东南风2级,25 优
2024-08-07 周三,31°,26°,阴~小雨,南风2级,28 优
2024-08-08 周四,31°,26°,阴~多云,东南风2级,30 优
2024-08-09 周五,30°,28°,阴~多云,东南风2级,31 优
2024-08-10 周六,30°,28°,雾~阴,南风3级,46 优
2024-08-11 周日,30°,27°,多云~晴,南风3级,68 良
2024-08-12 周一,32°,27°,多云,西南风2级,102 轻度
2024-08-13 周二,32°,26°,雾~小雨,东南风2级,56 良
2024-08-14 周三,30°,25°,阴~小雨,南风2级,30 优
2024-08-15 周四,31°,26°,多云,东风1级,41 优
2024-08-16 周五,30°,25°,多云,东南风1级,40 优
2024-08-17 周六,31°,26°,阴~多云,东南风2级,39 优
2024-08-18 周日,31°,26°,阴~多云,东南风2级,23 优
2024-08-19 周一,30°,25°,阴~中雨,东南风3级,21 优
2024-08-20 周二,28°,25°,中雨~小雨,东南风2级,17 优
2024-08-21 周三,30°,26°,阴~多云,西北风1级,19 优
2024-08-22 周四,31°,27°,多云~晴,西南风2级,55 良
2024-08-23 周五,33°,27°,多云,西南风1级,62 良
2024-08-24 周六,31°,27°,雾~多云,东南风1级,46 优
2024-08-25 周日,31°,27°,阴~小雨,东南风2级,34 优
2024-08-26 周一,30°,26°,阴~大暴雨,东南风3级,23 优
2024-08-27 周二,26°,24°,阴~多云,东北风5级,28 优
2024-08-28 周三,31°,24°,多云~晴,东北风3级,35 优
2024-08-29 周四,30°,24°,多云~晴,东北风1级,44 优
2024-08-30 周五,32°,24°,晴,西南风2级,58 良
2024-08-31 周六,30°,26°,多云~晴,东南风2级,65 良
