日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,32°,24°,阴~中雨,南风3级,29 优
2024-08-02 周五,31°,24°,阴~多云,西北风1级,33 优
2024-08-03 周六,34°,26°,阴,西南风2级,46 优
2024-08-04 周日,29°,25°,暴雨~大雨,东南风3级,26 优
2024-08-05 周一,31°,25°,阴~阵雨,西南风3级,21 优
2024-08-06 周二,32°,25°,阴~多云,西南风2级,38 优
2024-08-07 周三,32°,24°,阴~晴,西南风2级,36 优
2024-08-08 周四,32°,24°,阴~多云,西南风2级,44 优
2024-08-09 周五,34°,25°,阴,西南风1级,52 良
2024-08-10 周六,29°,24°,阴~中雨,东南风4级,23 优
2024-08-11 周日,33°,24°,阴~小雨,东南风3级,52 良
2024-08-12 周一,33°,24°,阴~雷阵雨,东南风2级,46 优
2024-08-13 周二,29°,24°,雾~多云,北风2级,44 优
2024-08-14 周三,30°,23°,雾~阴,北风2级,43 优
2024-08-15 周四,32°,23°,雾~多云,北风2级,46 优
2024-08-16 周五,33°,25°,阴,北风2级,50 优
2024-08-17 周六,32°,26°,阴,北风2级,64 良
2024-08-18 周日,33°,25°,阴~中雨,西南风2级,44 优
2024-08-19 周一,30°,25°,小雨,南风2级,26 优
2024-08-20 周二,29°,25°,小雨~大雨,东南风2级,19 优
2024-08-21 周三,31°,24°,阴~中雨,东南风2级,27 优
2024-08-22 周四,29°,21°,雾~阴,东北风2级,34 优
2024-08-23 周五,29°,22°,阴~晴,东北风2级,33 优
2024-08-24 周六,31°,23°,多云,西南风1级,68 良
2024-08-25 周日,31°,21°,多云,北风2级,54 良
2024-08-26 周一,28°,19°,阴~晴,东北风1级,33 优
2024-08-27 周二,29°,19°,晴,东北风3级,43 优
2024-08-28 周三,31°,21°,晴,西北风1级,55 良
2024-08-29 周四,32°,21°,晴,西南风2级,46 优
2024-08-30 周五,30°,20°,阴~晴,西南风2级,49 优
2024-08-31 周六,30°,21°,阴~小雨,西北风1级,43 优
