日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,36°,26°,阴~晴,西南风1级,39 优
2024-09-02 周一,37°,25°,多云,东北风1级,37 优
2024-09-03 周二,36°,25°,阴~多云,北风1级,36 优
2024-09-04 周三,35°,23°,阴~晴,东北风1级,39 优
2024-09-05 周四,35°,26°,阴~多云,东北风2级,35 优
2024-09-06 周五,32°,26°,小雨~阵雨,东北风2级,18 优
2024-09-07 周六,34°,25°,阴~多云,东北风1级,17 优
2024-09-08 周日,33°,25°,阴~多云,西风1级,23 优
2024-09-09 周一,34°,24°,小雨~多云,东风1级,22 优
2024-09-10 周二,34°,24°,小雨~多云,东北风微风,31 优
2024-09-11 周三,36°,25°,阴~多云,北风1级,34 优
2024-09-12 周四,36°,25°,阴~多云,西北风1级,46 优
2024-09-13 周五,35°,24°,阴~阵雨,北风1级,54 良
2024-09-14 周六,33°,24°,阴~多云,北风1级,39 优
2024-09-15 周日,33°,24°,阴~阵雨,北风1级,22 优
2024-09-16 周一,34°,24°,阴~多云,东北风1级,25 优
2024-09-17 周二,34°,24°,阴~多云,西北风2级,32 优
2024-09-18 周三,34°,24°,多云,东北风2级,33 优
2024-09-19 周四,36°,25°,多云,东北风1级,37 优
2024-09-20 周五,34°,25°,多云~阵雨,西北风1级,29 优
2024-09-21 周六,33°,23°,阴~中雨,北风2级,19 优
2024-09-22 周日,28°,20°,阴,西北风2级,18 优
2024-09-23 周一,22°,19°,小雨,东北风1级,28 优
2024-09-24 周二,25°,20°,小雨,东北风1级,26 优
2024-09-25 周三,26°,21°,小雨~阴,西北风1级,30 优
2024-09-26 周四,30°,24°,阴~小雨,西风1级,34 优
2024-09-27 周五,31°,23°,阴~多云,西风1级,41 优
2024-09-28 周六,34°,25°,阴~晴,北风1级,35 优
2024-09-29 周日,35°,24°,阴~多云,北风1级,42 优
2024-09-30 周一,35°,22°,晴~多云,东北风1级,27 优
