日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,37°,29°,阴~多云,西南风3级,32 优
2024-08-02 周五,38°,28°,阴~多云,西南风3级,33 优
2024-08-03 周六,39°,29°,阴~晴,西南风2级,43 优
2024-08-04 周日,40°,30°,多云~晴,西南风2级,44 优
2024-08-05 周一,40°,29°,多云~晴,西南风1级,39 优
2024-08-06 周二,38°,29°,阴~晴,东南风1级,50 优
2024-08-07 周三,40°,29°,阴~晴,东南风1级,55 良
2024-08-08 周四,39°,29°,多云~晴,西南风2级,47 优
2024-08-09 周五,38°,30°,阴~晴,西南风2级,53 良
2024-08-10 周六,39°,29°,阴~晴,西南风3级,49 优
2024-08-11 周日,38°,27°,阴~多云,西风2级,49 优
2024-08-12 周一,38°,28°,阴~多云,西北风1级,58 良
2024-08-13 周二,36°,25°,小雨~大雨,东北风1级,55 良
2024-08-14 周三,33°,25°,大雨~多云,东风3级,41 优
2024-08-15 周四,35°,25°,阴~多云,东北风3级,36 优
2024-08-16 周五,34°,26°,阴~多云,东北风3级,40 优
2024-08-17 周六,35°,26°,阴~晴,东风3级,47 优
2024-08-18 周日,35°,27°,阴,东风3级,44 优
2024-08-19 周一,34°,26°,小雨~中雨,东南风2级,33 优
2024-08-20 周二,31°,26°,小雨~中雨,西北风2级,28 优
2024-08-21 周三,29°,26°,中雨~阴,北风1级,36 优
2024-08-22 周四,35°,27°,雾~晴,西南风3级,47 优
2024-08-23 周五,35°,27°,阴~晴,东南风2级,52 良
2024-08-24 周六,36°,27°,小雨~晴,东南风2级,53 良
2024-08-25 周日,35°,27°,多云,东风3级,58 良
2024-08-26 周一,36°,28°,阴~小雨,东南风1级,60 良
2024-08-27 周二,28°,24°,阴~小雨,西北风4级,41 优
2024-08-28 周三,30°,25°,雾~小雨,东风2级,30 优
2024-08-29 周四,34°,26°,雾~多云,东北风2级,32 优
2024-08-30 周五,34°,27°,阴~多云,东风2级,37 优
2024-08-31 周六,35°,27°,阴~多云,东风2级,57 良
