日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,21°,9°,多云~晴,北风4级,116 轻度
2024-11-02 周六,23°,10°,多云~晴,西北风1级,101 轻度
2024-11-03 周日,25°,11°,多云~阴,西北风2级,88 良
2024-11-04 周一,19°,4°,多云~晴,东北风4级,77 良
2024-11-05 周二,18°,6°,晴,东北风2级,63 良
2024-11-06 周三,20°,6°,晴~多云,东南风2级,83 良
2024-11-07 周四,21°,7°,晴~阴,东南风3级,69 良
2024-11-08 周五,21°,9°,多云~阴,东南风3级,66 良
2024-11-09 周六,13°,9°,小雨~阴,东南风2级,71 良
2024-11-10 周日,21°,9°,雾~多云,东南风2级,78 良
2024-11-11 周一,19°,10°,多云,东风2级,119 轻度
2024-11-12 周二,22°,14°,多云~小雨,东风2级,132 轻度
2024-11-13 周三,19°,14°,多云~小雨,东北风2级,93 良
2024-11-14 周四,17°,13°,雾~阴,北风2级,109 轻度
2024-11-15 周五,17°,15°,小雨~阴,东北风2级,115 轻度
2024-11-16 周六,15°,8°,小雨,西北风4级,66 良
2024-11-17 周日,11°,9°,阴,东北风2级,34 优
2024-11-18 周一,11°,6°,小雨~阴,东北风3级,46 优
2024-11-19 周二,8°,6°,雾~阴,东北风2级,41 优
2024-11-20 周三,14°,5°,雾~晴,西北风2级,54 良
2024-11-21 周四,17°,5°,雾~多云,西北风1级,54 良
2024-11-22 周五,15°,4°,雾~多云,东风2级,81 良
2024-11-23 周六,14°,6°,多云~阴,东南风3级,99 良
2024-11-24 周日,10°,5°,阴~小雨,东北风1级,62 良
2024-11-25 周一,12°,1°,阴~晴,西北风5级,57 良
2024-11-26 周二,12°,3°,多云~晴,西北风3级,45 优
2024-11-27 周三,13°,5°,晴,西北风4级,68 良
2024-11-28 周四,14°,4°,晴,西北风5级,59 良
2024-11-29 周五,17°,3°,晴,西风3级,43 优
2024-11-30 周六,18°,5°,雾~晴,西南风2级,49 优
