日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,25°,17°,多云,西北风2级,null
2024-01-02 周二,26°,18°,晴,西南风2级,null
2024-01-03 周三,26°,16°,晴,西北风5级,null
2024-01-04 周四,24°,17°,晴,西北风2级,null
2024-01-05 周五,25°,18°,晴~多云,西北风2级,null
2024-01-06 周六,27°,18°,晴~多云,西北风2级,null
2024-01-07 周日,22°,18°,多云,西北风2级,null
2024-01-08 周一,27°,18°,阴~多云,西北风2级,null
2024-01-09 周二,28°,17°,阴~晴,西北风4级,null
2024-01-10 周三,27°,15°,多云~晴,北风4级,null
2024-01-11 周四,25°,15°,阴~晴,西风2级,null
2024-01-12 周五,26°,16°,晴,西南风1级,null
2024-01-13 周六,27°,17°,阴~晴,西北风2级,null
2024-01-14 周日,27°,17°,晴,西北风2级,null
2024-01-15 周一,28°,18°,晴~多云,西北风2级,null
2024-01-16 周二,26°,18°,阴~多云,西北风2级,null
2024-01-17 周三,28°,18°,阴~晴,西风2级,null
2024-01-18 周四,29°,21°,阴~多云,西北风2级,null
2024-01-19 周五,30°,21°,阴~多云,西北风2级,null
2024-01-20 周六,30°,20°,阴~多云,西北风3级,null
2024-01-21 周日,27°,17°,多云,西北风2级,null
2024-01-22 周一,26°,12°,阴~多云,西北风3级,null
2024-01-23 周二,16°,11°,阴,北风4级,null
2024-01-24 周三,20°,13°,多云~阴,西北风2级,null
2024-01-25 周四,22°,14°,阴~多云,西北风3级,null
2024-01-26 周五,24°,15°,多云,西北风2级,null
2024-01-27 周六,25°,15°,阴~多云,西北风3级,null
2024-01-28 周日,25°,16°,阴~多云,西北风3级,null
2024-01-29 周一,27°,19°,阴~多云,西北风2级,null
2024-01-30 周二,30°,20°,阴~晴,南风2级,null
2024-01-31 周三,30°,20°,晴~多云,西北风2级,null
