日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-7°,-16°,阴~晴,西南风2级,-
2023-12-02 周六,-5°,-17°,阴~多云,西南风2级,-
2023-12-03 周日,-5°,-12°,阴~多云,西南风2级,-
2023-12-04 周一,2°,-15°,多云~晴,西南风3级,-
2023-12-05 周二,-2°,-7°,多云~阴,东南风1级,-
2023-12-06 周三,2°,-17°,小雪~多云,西南风2级,-
2023-12-07 周四,-6°,-20°,阴~多云,西风3级,-
2023-12-08 周五,-5°,-18°,多云,东南风1级,-
2023-12-09 周六,-7°,-21°,阴~多云,西风3级,-
2023-12-10 周日,-14°,-24°,多云~晴,西北风3级,-
2023-12-11 周一,-14°,-26°,阴~多云,西北风1级,-
2023-12-12 周二,-14°,-24°,阴~多云,西北风1级,-
2023-12-13 周三,-12°,-25°,阴~多云,西北风2级,-
2023-12-14 周四,-13°,-23°,阴~多云,西北风1级,-
2023-12-15 周五,-14°,-22°,阴~小雪,西北风2级,-
2023-12-16 周六,-18°,-25°,小雪~阵雪,西北风2级,-
2023-12-17 周日,-17°,-24°,阴~晴,西风3级,-
2023-12-18 周一,-15°,-29°,阴~多云,西风2级,-
2023-12-19 周二,-17°,-28°,阴~晴,西北风1级,-
2023-12-20 周三,-20°,-29°,阴~多云,西北风2级,-
2023-12-21 周四,-20°,-28°,阴~晴,西北风2级,-
2023-12-22 周五,-16°,-22°,阴~多云,西风2级,-
2023-12-23 周六,-12°,-20°,阴~晴,西风2级,-
2023-12-24 周日,-8°,-19°,阴~多云,西南风2级,-
2023-12-25 周一,-9°,-14°,阴~中雪,西南风2级,-
2023-12-26 周二,-9°,-20°,阴~晴,西北风3级,-
2023-12-27 周三,-8°,-18°,阴~多云,西南风2级,-
2023-12-28 周四,-5°,-16°,阴~多云,西风2级,-
2023-12-29 周五,-5°,-12°,阴,西南风2级,-
2023-12-30 周六,-8°,-18°,小雪,东北风2级,-
2023-12-31 周日,-13°,-24°,多云,西北风2级,31 优
