日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,23°,12°,晴~多云,东南风2级,43 优
2024-05-02 周四,23°,11°,晴~多云,南风3级,54 良
2024-05-03 周五,23°,17°,阴,西南风3级,53 良
2024-05-04 周六,17°,11°,阴,东南风2级,48 优
2024-05-05 周日,22°,13°,雾~多云,东北风2级,75 良
2024-05-06 周一,25°,13°,多云~小雨,东北风2级,82 良
2024-05-07 周二,27°,13°,多云~晴,东北风3级,86 良
2024-05-08 周三,26°,18°,多云,南风3级,62 良
2024-05-09 周四,27°,18°,多云~晴,西南风4级,61 良
2024-05-10 周五,28°,18°,阴~多云,西南风4级,68 良
2024-05-11 周六,26°,13°,阴~多云,北风3级,168 中度
2024-05-12 周日,27°,15°,晴,东北风3级,106 轻度
2024-05-13 周一,28°,18°,阴~晴,西南风3级,100 良
2024-05-14 周二,31°,17°,阴~多云,西南风3级,94 良
2024-05-15 周三,24°,16°,晴~多云,东北风4级,49 优
2024-05-16 周四,28°,19°,多云~阴,西南风4级,66 良
2024-05-17 周五,32°,19°,阴~晴,东北风3级,76 良
2024-05-18 周六,33°,23°,阴,南风2级,91 良
2024-05-19 周日,32°,18°,阴~小雨,南风3级,67 良
2024-05-20 周一,23°,19°,多云,东北风4级,56 良
2024-05-21 周二,29°,19°,多云~晴,东南风2级,69 良
2024-05-22 周三,30°,20°,晴,南风3级,61 良
2024-05-23 周四,34°,20°,多云,南风3级,82 良
2024-05-24 周五,25°,19°,多云~阴,东北风3级,65 良
2024-05-25 周六,21°,17°,阴~中雨,东北风2级,70 良
2024-05-26 周日,29°,17°,多云~阴,东北风4级,74 良
2024-05-27 周一,30°,17°,多云~晴,东北风3级,51 良
2024-05-28 周二,33°,18°,阴,南风3级,68 良
2024-05-29 周三,29°,18°,阴,西南风4级,64 良
2024-05-30 周四,34°,18°,阴,东北风2级,70 良
2024-05-31 周五,32°,19°,阴,东北风4级,65 良
