日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,26°,20°,阴~多云,北风2级,20 优
2024-08-02 周五,23°,18°,小雨~阵雨,东北风3级,20 优
2024-08-03 周六,23°,18°,阴~多云,东北风3级,20 优
2024-08-04 周日,24°,20°,阴~小雨,东南风2级,19 优
2024-08-05 周一,29°,22°,阴~阵雨,西南风2级,18 优
2024-08-06 周二,30°,21°,阴,西南风2级,25 优
2024-08-07 周三,29°,19°,阴~多云,东南风1级,27 优
2024-08-08 周四,30°,17°,阴~晴,西南风2级,26 优
2024-08-09 周五,30°,16°,阴~多云,西北风2级,28 优
2024-08-10 周六,23°,19°,雾~中雨,东北风2级,22 优
2024-08-11 周日,23°,21°,中雨~小雨,东南风3级,22 优
2024-08-12 周一,28°,20°,小雨~多云,西南风2级,22 优
2024-08-13 周二,27°,17°,多云~晴,北风2级,17 优
2024-08-14 周三,28°,19°,多云,东风1级,22 优
2024-08-15 周四,29°,19°,多云,东南风2级,34 优
2024-08-16 周五,29°,17°,阴~晴,东北风2级,37 优
2024-08-17 周六,31°,18°,阴~阵雨,东南风1级,31 优
2024-08-18 周日,28°,17°,阴~阵雨,东北风1级,24 优
2024-08-19 周一,22°,13°,阴,东北风3级,24 优
2024-08-20 周二,26°,14°,多云,东南风1级,31 优
2024-08-21 周三,23°,19°,阴~小雨,东北风1级,30 优
2024-08-22 周四,27°,17°,暴雨~阵雨,南风1级,22 优
2024-08-23 周五,25°,16°,阴~多云,西北风3级,28 优
2024-08-24 周六,22°,15°,阴,东风2级,24 优
2024-08-25 周日,19°,15°,小雨~阵雨,东北风1级,23 优
2024-08-26 周一,22°,14°,小雨~多云,西南风1级,25 优
2024-08-27 周二,24°,14°,小雨~晴,西北风2级,24 优
2024-08-28 周三,26°,16°,阴~多云,南风3级,22 优
2024-08-29 周四,27°,17°,多云~小雨,南风2级,31 优
2024-08-30 周五,23°,15°,小雨~阵雨,西南风1级,23 优
2024-08-31 周六,23°,15°,晴~小雨,西北风4级,25 优
