日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,25°,20°,中雨~阵雨,东北风2级,33 优
2024-04-02 周二,28°,20°,小雨~大雨,西南风4级,35 优
2024-04-03 周三,21°,15°,小雨~中雨,西北风2级,30 优
2024-04-04 周四,19°,13°,大雨~多云,东北风2级,23 优
2024-04-05 周五,14°,13°,中雨~小雨,东北风3级,25 优
2024-04-06 周六,15°,13°,小雨,东北风1级,30 优
2024-04-07 周日,15°,14°,小雨,东北风1级,28 优
2024-04-08 周一,18°,15°,小雨~多云,西风1级,33 优
2024-04-09 周二,21°,16°,阴~多云,东风3级,33 优
2024-04-10 周三,25°,18°,阴,东北风1级,46 优
2024-04-11 周四,24°,19°,阴~小雨,东北风2级,46 优
2024-04-12 周五,23°,18°,雾~阴,西南风1级,41 优
2024-04-13 周六,26°,20°,小雨~暴雨,东北风2级,42 优
2024-04-14 周日,24°,20°,大雨~多云,西风1级,35 优
2024-04-15 周一,32°,21°,雾~雷阵雨,西风1级,54 良
2024-04-16 周二,24°,19°,暴雨~大雨,东风1级,43 优
2024-04-17 周三,23°,18°,小雨~多云,西风2级,25 优
2024-04-18 周四,26°,19°,雾~小雨,东风2级,28 优
2024-04-19 周五,26°,19°,小雨,南风3级,34 优
2024-04-20 周六,22°,19°,中雨,北风1级,22 优
2024-04-21 周日,21°,19°,小雨,西北风2级,25 优
2024-04-22 周一,24°,18°,雾~小雨,西风2级,31 优
2024-04-23 周二,25°,17°,雾~多云,西北风2级,37 优
2024-04-24 周三,27°,19°,雾~多云,东北风2级,46 优
2024-04-25 周四,21°,19°,小雨,东风2级,45 优
2024-04-26 周五,27°,20°,雾~多云,东风1级,47 优
2024-04-27 周六,30°,21°,阴~阵雨,东北风1级,38 优
2024-04-28 周日,27°,21°,大雨~阵雨,西南风2级,31 优
2024-04-29 周一,26°,19°,阴~大雨,西北风1级,32 优
2024-04-30 周二,22°,16°,大雨~小雨,西风2级,30 优
