日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,30°,22°,中雨~暴雨,东南风2级,23 优
2024-07-02 周二,30°,23°,阴~多云,西风2级,41 优
2024-07-03 周三,31°,26°,阴~多云,东南风3级,31 优
2024-07-04 周四,34°,27°,多云~晴,西南风3级,27 优
2024-07-05 周五,36°,28°,阴~晴,南风3级,31 优
2024-07-06 周六,36°,28°,多云,西南风3级,27 优
2024-07-07 周日,37°,28°,多云,西南风3级,32 优
2024-07-08 周一,37°,29°,多云~晴,西南风3级,30 优
2024-07-09 周二,33°,25°,阴~小雨,西南风3级,29 优
2024-07-10 周三,32°,25°,阴~小雨,西北风2级,33 优
2024-07-11 周四,32°,26°,阴~中雨,西北风1级,34 优
2024-07-12 周五,34°,25°,小雨~中雨,西南风2级,30 优
2024-07-13 周六,28°,25°,中雨,东南风2级,29 优
2024-07-14 周日,30°,26°,阴~多云,东北风2级,28 优
2024-07-15 周一,32°,27°,阴~多云,东风3级,36 优
2024-07-16 周二,32°,28°,阴~晴,东南风2级,51 良
2024-07-17 周三,35°,28°,阴~晴,南风2级,36 优
2024-07-18 周四,35°,28°,阴~晴,西南风3级,30 优
2024-07-19 周五,35°,29°,阴~晴,南风2级,37 优
2024-07-20 周六,34°,28°,小雨~多云,东南风3级,36 优
2024-07-21 周日,37°,28°,阴~晴,东南风2级,36 优
2024-07-22 周一,38°,29°,阴,东南风2级,40 优
2024-07-23 周二,39°,28°,多云~晴,东南风2级,46 优
2024-07-24 周三,38°,28°,多云,东南风2级,52 良
2024-07-25 周四,37°,28°,阴~晴,东北风1级,33 优
2024-07-26 周五,36°,27°,阴~中雨,东北风3级,27 优
2024-07-27 周六,31°,27°,暴雨~大雨,东北风2级,19 优
2024-07-28 周日,33°,27°,阴~晴,东南风4级,19 优
2024-07-29 周一,34°,27°,多云~晴,东南风4级,21 优
2024-07-30 周二,35°,27°,阴~晴,东南风3级,34 优
2024-07-31 周三,35°,27°,中雨~晴,东南风2级,33 优
