日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,18°,15°,雾~晴,东南风1级,39 优
2024-05-02 周四,22°,16°,阴~晴,东南风2级,40 优
2024-05-03 周五,18°,15°,中雨~大雨,东南风3级,37 优
2024-05-04 周六,17°,16°,中雨~小雨,西北风2级,26 优
2024-05-05 周日,21°,15°,雾~多云,西风2级,41 优
2024-05-06 周一,28°,18°,雾~晴,东南风1级,48 优
2024-05-07 周二,30°,19°,阴~多云,东北风1级,56 良
2024-05-08 周三,30°,16°,多云~晴,东北风2级,65 良
2024-05-09 周四,29°,17°,阴~多云,东南风3级,70 良
2024-05-10 周五,28°,20°,阴~大雨,东南风3级,76 良
2024-05-11 周六,23°,18°,大雨~晴,西北风2级,66 良
2024-05-12 周日,27°,16°,阴~晴,东南风2级,88 良
2024-05-13 周一,28°,14°,多云~晴,东南风2级,87 良
2024-05-14 周二,30°,17°,晴,东南风2级,75 良
2024-05-15 周三,31°,14°,阴~多云,东北风2级,80 良
2024-05-16 周四,30°,18°,多云~晴,东南风3级,65 良
2024-05-17 周五,34°,21°,晴,东南风1级,79 良
2024-05-18 周六,33°,22°,多云,东南风3级,82 良
2024-05-19 周日,29°,22°,阴~小雨,东南风2级,71 良
2024-05-20 周一,28°,21°,阴~晴,东南风1级,65 良
2024-05-21 周二,26°,21°,雾~小雨,东南风2级,43 优
2024-05-22 周三,26°,21°,阴~多云,东南风2级,31 优
2024-05-23 周四,31°,22°,阴~晴,西南风1级,42 优
2024-05-24 周五,33°,24°,阴~晴,东风2级,47 优
2024-05-25 周六,35°,24°,阴~晴,东南风2级,48 优
2024-05-26 周日,35°,22°,阴~大雨,东南风1级,42 优
2024-05-27 周一,28°,16°,中雨~晴,东北风2级,33 优
2024-05-28 周二,28°,18°,阴~多云,东风2级,43 优
2024-05-29 周三,30°,21°,阴~小雨,东南风3级,55 良
2024-05-30 周四,21°,20°,中雨,西北风2级,63 良
2024-05-31 周五,23°,20°,小雨,东南风1级,49 优
