日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,27°,15°,多云~晴,西南风2级,28 优
2024-06-02 周日,28°,12°,小雨,北风3级,38 优
2024-06-03 周一,14°,8°,小雨~晴,东北风2级,35 优
2024-06-04 周二,22°,13°,多云~中雨,南风3级,27 优
2024-06-05 周三,21°,9°,阴~多云,东南风3级,25 优
2024-06-06 周四,26°,15°,阴~中雨,南风3级,31 优
2024-06-07 周五,24°,12°,阴~小雨,西南风3级,33 优
2024-06-08 周六,12°,10°,大雨~多云,东北风2级,20 优
2024-06-09 周日,22°,10°,阴~多云,西北风2级,25 优
2024-06-10 周一,25°,12°,多云,西南风1级,26 优
2024-06-11 周二,23°,11°,多云,北风3级,25 优
2024-06-12 周三,23°,12°,多云~阴,东北风3级,24 优
2024-06-13 周四,20°,13°,阴~小雨,东风3级,27 优
2024-06-14 周五,19°,12°,阴,东南风3级,27 优
2024-06-15 周六,24°,11°,阴~多云,东南风1级,26 优
2024-06-16 周日,26°,14°,小雨~中雨,东南风3级,22 优
2024-06-17 周一,20°,11°,中雨~多云,东北风3级,26 优
2024-06-18 周二,22°,14°,小雨~雷阵雨,南风1级,29 优
2024-06-19 周三,22°,11°,多云,西北风3级,25 优
2024-06-20 周四,22°,11°,多云,东北风3级,24 优
2024-06-21 周五,24°,12°,晴~多云,东北风3级,21 优
2024-06-22 周六,23°,12°,多云,东风2级,23 优
2024-06-23 周日,27°,14°,阴~多云,东北风2级,25 优
2024-06-24 周一,28°,15°,多云,东北风1级,28 优
2024-06-25 周二,28°,15°,多云~小雨,北风3级,39 优
2024-06-26 周三,29°,17°,多云~晴,西北风1级,36 优
2024-06-27 周四,31°,18°,多云~中雨,西南风3级,35 优
2024-06-28 周五,28°,19°,阴~小雨,西南风1级,39 优
2024-06-29 周六,25°,14°,阴~多云,北风3级,42 优
2024-06-30 周日,25°,14°,晴,北风4级,40 优
