日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,25°,12°,多云~晴,东北风3级,26 优
2024-06-02 周日,26°,13°,多云,西南风2级,30 优
2024-06-03 周一,29°,15°,阴~晴,西风2级,38 优
2024-06-04 周二,22°,15°,多云,东南风2级,26 优
2024-06-05 周三,26°,18°,阴~小雨,东南风4级,42 优
2024-06-06 周四,24°,17°,阴~小雨,南风4级,52 良
2024-06-07 周五,28°,13°,多云~阵雨,西南风4级,31 优
2024-06-08 周六,25°,12°,小雨~晴,西北风3级,23 优
2024-06-09 周日,24°,16°,多云,西北风3级,25 优
2024-06-10 周一,29°,16°,阴~多云,南风3级,36 优
2024-06-11 周二,21°,16°,小雨~多云,东北风3级,26 优
2024-06-12 周三,24°,16°,阴~小雨,东北风3级,29 优
2024-06-13 周四,18°,14°,中雨~小雨,东北风3级,28 优
2024-06-14 周五,16°,12°,小雨~多云,北风4级,19 优
2024-06-15 周六,23°,12°,多云~晴,东北风4级,26 优
2024-06-16 周日,28°,15°,小雨~多云,西南风2级,32 优
2024-06-17 周一,23°,13°,多云~晴,北风4级,21 优
2024-06-18 周二,27°,18°,多云,南风3级,27 优
2024-06-19 周三,25°,18°,阴~小雨,东北风2级,31 优
2024-06-20 周四,19°,15°,小雨~多云,东北风3级,22 优
2024-06-21 周五,20°,15°,阴~中雨,东风3级,19 优
2024-06-22 周六,19°,14°,中雨~多云,东北风3级,21 优
2024-06-23 周日,24°,13°,阴~阵雨,东北风3级,22 优
2024-06-24 周一,27°,15°,多云~阵雨,东北风2级,25 优
2024-06-25 周二,29°,17°,多云,东北风2级,32 优
2024-06-26 周三,27°,19°,小雨~多云,西北风2级,40 优
2024-06-27 周四,32°,20°,多云,西南风3级,48 优
2024-06-28 周五,30°,20°,阴~小雨,南风3级,57 良
2024-06-29 周六,22°,19°,中雨~小雨,北风3级,34 优
2024-06-30 周日,25°,16°,多云~晴,东北风4级,44 优
