日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,33°,24°,小雨~阴,西南风2级,22 优
2024-07-02 周二,32°,24°,小雨~多云,西南风2级,21 优
2024-07-03 周三,34°,24°,阴~多云,东南风2级,26 优
2024-07-04 周四,35°,24°,阴~晴,南风2级,25 优
2024-07-05 周五,35°,24°,阴~晴,西南风2级,22 优
2024-07-06 周六,33°,25°,多云,南风2级,22 优
2024-07-07 周日,35°,25°,多云,南风2级,21 优
2024-07-08 周一,35°,23°,多云,西南风2级,20 优
2024-07-09 周二,35°,24°,阴,西南风2级,19 优
2024-07-10 周三,35°,25°,阴,西南风2级,22 优
2024-07-11 周四,34°,25°,阴,西南风2级,25 优
2024-07-12 周五,34°,25°,阴,西南风2级,17 优
2024-07-13 周六,34°,25°,阴,西南风2级,19 优
2024-07-14 周日,35°,24°,阴~多云,南风2级,27 优
2024-07-15 周一,36°,25°,阴~多云,南风1级,28 优
2024-07-16 周二,34°,24°,阴,东南风2级,25 优
2024-07-17 周三,34°,24°,阴~多云,东南风2级,24 优
2024-07-18 周四,35°,25°,小雨~多云,南风2级,26 优
2024-07-19 周五,34°,24°,阴~多云,南风2级,28 优
2024-07-20 周六,36°,24°,阴~多云,南风2级,23 优
2024-07-21 周日,36°,25°,小雨~多云,南风1级,28 优
2024-07-22 周一,37°,26°,多云,南风1级,34 优
2024-07-23 周二,37°,26°,阴,西北风1级,41 优
2024-07-24 周三,38°,26°,多云~阴,北风1级,32 优
2024-07-25 周四,32°,26°,中雨~大雨,西北风3级,22 优
2024-07-26 周五,26°,25°,中雨~大暴雨,西南风2级,13 优
2024-07-27 周六,28°,25°,大雨~中雨,东南风2级,17 优
2024-07-28 周日,29°,24°,阴,东南风2级,15 优
2024-07-29 周一,34°,24°,阴,东南风1级,22 优
2024-07-30 周二,33°,25°,阴,东南风1级,24 优
2024-07-31 周三,31°,24°,中雨~多云,南风2级,16 优
